,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,year,hc_x_,hc_y_,spray_angle_true,launch_speed_fts,launch_angle_rads,num_homers,MLBID,PLAYERNAME
242008,SL,2022-08-02,86.4,-1.21,6.44,"Keller, Brad",547989,641745,home_run,hit_into_play,,,,,5.0,Jose Abreu homers (13) on a fly ball to left field.   Andrew Vaughn scores.,R,R,R,CWS,KC,X,,fly_ball,0,0,2022,0.44,-0.23,0.13,2.53,,,683734.0,2,6,Bot,,,,,521692,,,2.2992292472095457,-125.90925259493363,-2.716626062964393,4.258762778275581,22.529322043510884,-34.30284205230671,3.5,1.62,401,104.5,29.0,86.6,2465.0,6.1,661386,641745,521692,668472,670032,641531,677951,664728,572191,669004,54.4,0.86,1.778,2.0,1.0,0.0,3.0,6.0,57,1,Slider,6,2,6,2,2,8,8,2,Standard,Standard,88.0,0.035,1.88,2022,,,,153.26666666666668,0.5061454830783556,0,547989.0,Jose Abreu
243194,SL,2022-07-27,85.2,-1.89,6.27,"Giolito, Lucas",453568,608337,home_run,hit_into_play,,,,,9.0,Charlie Blackmon homers (16) on a fly ball to right field.,R,L,R,COL,CWS,X,,fly_ball,2,2,2022,0.33,0.07,0.32,2.15,,,,0,1,Bot,,,,,664874,,,4.582809495747449,-124.07737328414106,-3.588056187130237,2.5534219667605824,23.22184876497585,-30.96190602277865,3.72,1.78,424,101.1,27.0,86.4,1972.0,6.9,661078,608337,664874,547989,543281,660162,641313,572041,544725,683734,53.65,0.62,1.108,2.0,1.0,0.0,3.0,6.0,4,5,Slider,0,0,0,0,0,1,1,0,Infield shift,Standard,124.0,0.102,1.026,2022,,,,148.28,0.4712388980384689,0,453568.0,Charlie Blackmon
244068,FF,2022-07-22,98.4,-1.88,5.91,"Weems, Jordan",662139,607179,home_run,hit_into_play,,,,,9.0,Daulton Varsho homers (13) on a fly ball to right field.,R,L,R,AZ,WSH,X,,fly_ball,3,2,2022,-0.48,1.49,0.69,1.65,,,,1,6,Bot,,,,,660688,,,8.130858359678173,-142.79558178232529,-9.567788556457314,-8.47784736102732,32.66670142267796,-9.754760618811536,3.25,1.47,451,109.3,32.0,98.7,2110.0,6.6,663306,607179,660688,605137,514917,596748,671277,628450,645302,665742,53.92,0.894,1.861,2.0,1.0,0.0,3.0,6.0,46,9,4-Seam Fastball,5,0,5,0,0,6,6,0,Infield shift,Standard,207.0,0.012,0.948,2022,,,,160.30666666666667,0.5585053606381855,0,662139.0,Daulton Varsho
246924,FF,2022-07-05,89.1,-1.57,5.85,"Espino, Paolo",656941,502179,home_run,hit_into_play,,,,,6.0,Kyle Schwarber homers (25) on a fly ball to right field.,R,L,R,PHI,WSH,X,,fly_ball,1,0,2022,-0.08,1.73,0.54,2.74,,,,2,3,Bot,,,,,660688,,,5.356903667662177,-129.59505631671178,-5.238912453991924,-2.0400073363644746,26.753986238998618,-11.729426948648346,3.37,1.62,431,109.6,31.0,89.1,2289.0,6.3,661578,502179,660688,605137,514917,501303,671277,628450,645302,657041,54.19,0.937,1.95,2.0,1.0,0.0,3.0,6.0,22,2,4-Seam Fastball,1,0,1,0,0,2,2,0,Infield shift,Standard,198.0,0.108,0.985,2022,,,,160.74666666666667,0.5410520681182421,0,656941.0,Kyle Schwarber
247765,FF,2022-07-01,92.3,-0.83,6.28,"Gonsolin, Tony",663757,664062,home_run,hit_into_play,,,,,5.0,Trent Grisham homers (7) on a fly ball to right field.,R,L,R,LAD,SD,X,,fly_ball,2,0,2022,-0.74,1.57,0.21,2.28,,,,1,5,Top,,,,,605131,,,4.232058486230915,-134.16445047043285,-7.699857802827879,-9.899038925255514,30.74760525008024,-11.681427661123603,3.49,1.73,428,109.1,30.0,91.4,2261.0,5.9,662609,664062,605131,518692,571970,457759,607208,621035,641355,572204,54.58,0.969,2.025,2.0,1.0,0.0,3.0,6.0,34,3,4-Seam Fastball,1,0,0,1,1,1,1,1,Infield shift,Standard,215.0,-0.146,0.933,2022,,,,160.01333333333332,0.5235987755982988,0,663757.0,Trent Grisham
248292,FF,2022-06-28,93.7,-1.48,5.73,"Thompson, Keegan",592273,624522,double,hit_into_play,,,,,2.0,Brandon Drury doubles (14) on a soft line drive to right fielder Rafael Ortega.   Jonathan India scores.,R,R,R,CHC,CIN,X,9.0,line_drive,3,2,2022,-0.5,1.28,0.21,3.17,,,663697.0,1,6,Top,,,,,543228,,,5.488729738847734,-136.3958598136154,-3.706175696035396,-7.463049422401678,29.956721677190608,-15.613538396482848,3.57,1.67,362,107.3,18.0,93.9,2393.0,6.4,663231,624522,543228,663845,623520,621550,663538,664023,666624,542364,54.11,0.62,0.781,1.25,1.0,1.0,1.0,6.0,39,6,4-Seam Fastball,0,0,0,0,1,0,1,0,Infield shift,Standard,199.0,-0.185,0.846,2022,,,,157.3733333333333,0.3141592653589793,0,592273.0,Brandon Drury
248709,SI,2022-06-26,88.4,-3.16,5.77,"Mills, Alec",660766,621219,home_run,hit_into_play,,,,,4.0,Juan Yepez homers (7) on a fly ball to left field.,R,R,R,STL,CHC,X,,fly_ball,0,0,2022,-1.52,0.73,-0.37,2.34,,,,2,3,Bot,,,,,543228,,,9.88803939938242,-128.3891720145955,-3.79831002423633,-18.784521521302928,25.58614136593449,-23.46098077964264,3.43,1.65,417,112.1,26.0,88.1,2217.0,6.1,661969,621219,543228,663845,623520,621550,663538,664023,666624,542364,54.38,0.989,2.017,2.0,1.0,0.0,3.0,6.0,30,1,Sinker,4,0,4,0,0,5,5,0,Infield shift,Standard,226.0,0.041,1.0,2022,,,,164.41333333333333,0.4537856055185257,0,660766.0,Juan Yepez
251423,SL,2022-06-13,85.2,1.01,5.88,"Minor, Mike",572233,501985,home_run,hit_into_play,,,,,13.0,"Umpire reviewed (home run), call on the field was upheld: Christian Walker homers (16) on a fly ball to left field.   Ketel Marte scores.",R,R,L,AZ,CIN,X,,fly_ball,0,2,2022,-0.5,0.11,-0.97,1.99,,606466.0,,2,3,Bot,,,,,608360,,,-3.63349952399767,-124.04030826767789,-3.029820760023031,-4.40664471465614,25.112550729301883,-30.634720242189186,3.33,1.51,446,110.9,29.0,84.5,2721.0,5.8,663345,501985,608360,458015,608703,519058,571657,502054,669222,546991,54.67,0.986,2.049,2.0,1.0,0.0,3.0,6.0,24,3,Slider,0,0,0,0,0,2,2,0,,Standard,273.0,0.208,1.893,2022,,,,162.65333333333334,0.5061454830783556,0,572233.0,Christian Walker
251793,FF,2022-06-12,91.6,2.08,5.8,"Quintana, José",661388,500779,home_run,hit_into_play,,,,,4.0,William Contreras homers (9) on a fly ball to left field.,R,R,L,ATL,PIT,X,,fly_ball,2,1,2022,0.06,1.05,-0.82,3.0,,,,2,2,Bot,,,,,605421,,,-7.482302418265342,-133.33444584686134,-3.589054683985703,2.0805905175439725,24.739650104998745,-18.958173319663057,3.6,1.73,420,113.7,27.0,92.7,2029.0,6.6,661144,500779,605421,656308,672779,663647,660636,669261,668804,668751,53.87,0.994,2.04,2.0,1.0,0.0,3.0,6.0,14,4,4-Seam Fastball,0,0,0,0,0,1,1,0,Standard,Standard,166.0,0.115,0.985,2022,,,,166.76,0.4712388980384689,0,661388.0,William Contreras
253032,CH,2022-06-05,87.5,-1.48,6.13,"Vizcaíno, Arodys",670541,527055,home_run,hit_into_play,,,,,6.0,Yordan Alvarez homers (16) on a fly ball to right field.,R,L,R,KC,HOU,X,,fly_ball,1,1,2022,-1.01,0.91,0.29,2.57,,,,0,8,Top,,,,,669004,,,6.3057158188035975,-127.34662519851176,-4.312416649061134,-12.308974475165456,25.264410233270183,-21.60496712783093,3.61,1.79,456,114.3,32.0,87.1,1057.0,5.9,662688,527055,669004,467793,593160,656896,677951,643217,572191,641531,54.55,0.946,1.97,2.0,1.0,0.0,3.0,6.0,59,3,Changeup,2,3,3,2,4,2,4,2,Infield shift,Strategic,245.0,-0.117,1.009,2022,,,,167.64,0.5585053606381855,0,670541.0,Yordan Alvarez
253146,FF,2022-06-05,92.2,1.86,6.22,"Smeltzer, Devin",543807,656970,home_run,hit_into_play,,,,,2.0,George Springer homers (11) on a fly ball to left field.,R,R,L,TOR,MIN,X,,fly_ball,1,2,2022,0.79,1.56,0.15,3.22,,,,0,1,Bot,,,,,596142,,,-5.983842118369626,-134.09472338092542,-5.130056772389928,10.779690009803952,29.618579827871123,-12.381662975634766,3.58,1.66,433,112.3,25.0,91.1,2367.0,5.7,661747,656970,596142,669304,593871,570482,650339,624503,665482,663616,54.77,0.989,2.008,2.0,1.0,0.0,3.0,6.0,8,4,4-Seam Fastball,0,3,0,3,3,1,1,3,Infield shift,Standard,144.0,0.087,1.063,2022,,,,164.70666666666668,0.4363323129985824,0,543807.0,George Springer
254392,SL,2022-05-30,84.8,-1.83,5.27,"Feltner, Ryan",660821,663372,home_run,hit_into_play,,,,,6.0,Jesus Sanchez homers (5) on a fly ball to right field.,R,L,R,COL,MIA,X,,fly_ball,2,2,2022,0.29,0.19,0.82,2.77,,,,2,2,Top,,,,,661531,,,5.656490994306377,-123.6109180727417,-0.0589836293723303,2.2630850002964427,17.731403214273236,-30.362359832626154,3.42,1.62,496,114.7,31.0,86.3,2460.0,6.6,662992,663372,661531,656582,663898,641857,641658,656541,545341,453568,53.94,0.971,2.023,2.0,1.0,0.0,3.0,6.0,11,5,Slider,0,0,0,0,1,0,1,0,Standard,Standard,93.0,-0.113,1.015,2022,,,,168.22666666666666,0.5410520681182421,0,660821.0,Jesus Sanchez
257044,FF,2022-05-17,93.6,-1.45,5.7,"Boxberger, Brad",542303,502202,home_run,hit_into_play,,,,,4.0,Marcell Ozuna homers (6) on a fly ball to left field.   Ronald Acuna Jr.  scores.,R,R,R,MIL,ATL,X,,fly_ball,3,2,2022,-0.15,1.5,-0.56,2.45,660670.0,,,2,8,Top,,,,,605170,,,2.592080974786156,-136.27804199161227,-5.889004800267233,-2.383814799083449,29.705389197637366,-12.430920585679942,3.63,1.73,421,108.5,36.0,92.6,2432.0,5.7,661196,502202,605170,642133,543939,670712,649966,621438,456715,592669,54.84,0.697,1.432,2.0,1.0,0.0,3.0,6.0,59,7,4-Seam Fastball,0,1,1,0,3,0,3,0,Infield shift,Standard,202.0,-0.179,1.713,2022,,,,159.13333333333333,0.6283185307179586,0,542303.0,Marcell Ozuna
257744,CH,2022-05-13,87.5,-2.26,5.56,"Estévez, Carlos",656811,608032,home_run,hit_into_play,,,,,6.0,Ryan O'Hearn homers (1) on a fly ball to right field.    Hunter Dozier scores.,R,L,R,COL,KC,X,,fly_ball,1,0,2022,-0.6,0.63,0.54,2.32,,,641531.0,2,8,Top,,,,,553869,,,8.023416801967425,-127.27239259309846,-3.050166774771942,-8.081332721399974,23.186466174258086,-24.858410947358145,3.46,1.64,445,106.9,32.0,88.1,1692.0,6.4,663012,608032,553869,543068,663898,641857,578428,656541,602074,545341,54.07,0.854,1.78,2.0,1.0,0.0,3.0,6.0,78,2,Changeup,9,12,12,9,14,9,14,9,Infield shift,Standard,244.0,-0.055,1.848,2022,,,,156.78666666666666,0.5585053606381855,0,656811.0,Ryan O'Hearn
260577,FC,2022-04-29,83.0,-1.88,5.14,"Maton, Phil",656305,664208,home_run,hit_into_play,,,,,1.0,Matt Chapman homers (4) on a fly ball to left field.   Lourdes Gurriel Jr.  scores.,R,R,R,TOR,HOU,X,,fly_ball,0,0,2022,0.55,1.0,-0.47,2.92,,,666971.0,1,7,Bot,,,,,455117,,,2.174612939514123,-120.86580241222316,-0.5150525076736042,4.934598567616471,25.43095857339746,-22.573100661585485,3.4,1.64,418,110.2,31.0,84.1,2662.0,7.2,661826,664208,455117,493329,649557,608324,665161,676801,642350,663656,53.34,0.937,1.95,2.0,1.0,0.0,3.0,6.0,71,1,Cutter,5,10,5,10,10,7,7,10,Standard,Standard,96.0,0.057,1.719,2022,,,,161.6266666666667,0.5410520681182421,0,656305.0,Matt Chapman
261161,FF,2022-04-26,93.0,-2.7,5.81,"Eflin, Zach",453568,621107,home_run,hit_into_play,,,,,5.0,Charlie Blackmon homers (3) on a fly ball to right field.,R,L,R,PHI,COL,X,,fly_ball,1,2,2022,-0.92,1.31,0.23,2.66,,,,2,6,Top,,,,,592663,,,9.58374901706146,-135.00593941649248,-5.203216320196288,-13.249506266384692,28.683785235032257,-15.127602748069377,3.69,1.7,410,108.7,29.0,93.7,2163.0,6.7,661567,621107,592663,656555,516416,664761,544369,656941,546318,592206,53.75,0.986,2.064,2.0,1.0,0.0,3.0,6.0,45,5,4-Seam Fastball,7,0,0,7,1,7,1,7,Infield shift,Standard,229.0,-0.006,1.029,2022,,,,159.42666666666668,0.5061454830783556,0,453568.0,Charlie Blackmon
263287,CU,2022-04-14,80.0,-2.32,6.27,"Gibson, Kyle",643265,502043,home_run,hit_into_play,,,,,7.0,Garrett Cooper homers (1) on a fly ball to left field.,R,R,R,MIA,PHI,X,,fly_ball,2,2,2022,0.31,-0.61,-0.32,1.89,,,,1,4,Bot,,,,,592663,,,3.8580929712347634,-116.41130837521224,-1.7812316549494775,2.1091622261947296,22.53309483975993,-37.58561524901236,3.58,1.68,414,107.4,34.0,80.7,2328.0,6.8,661418,502043,592663,656555,681082,622666,544369,656941,663837,547180,53.65,0.769,1.593,2.0,1.0,0.0,3.0,6.0,29,5,Curveball,0,1,0,1,1,1,1,1,Standard,Standard,56.0,0.141,1.021,2022,,,,157.52,0.5934119456780721,0,643265.0,Garrett Cooper
263902,SV,2022-04-10,81.2,1.42,5.97,"Urías, Julio",543068,628711,home_run,hit_into_play,,,,,4.0,C.J. Cron homers (1) on a fly ball to left field.   Brendan Rodgers scores.,R,R,L,COL,LAD,X,,fly_ball,2,1,2022,-1.49,-0.28,-0.43,2.4,,,663898.0,0,3,Bot,,,,,669257,,,-1.301911929472427,-118.38404871712284,-0.9174863697696932,-13.856589867611198,20.47173672562611,-34.90145647312369,3.55,1.63,445,113.0,25.0,80.6,2875.0,5.5,662934,628711,669257,518692,666158,457759,607208,621035,641355,605141,54.95,0.991,2.018,2.0,1.0,0.0,3.0,6.0,26,4,Slurve,3,0,3,0,0,5,5,0,Infield shift,Standard,300.0,0.075,1.507,2022,,,,165.73333333333332,0.4363323129985824,0,543068.0,C.J. Cron
265867,SL,2022-03-18,89.8,1.98,5.75,"France, J.P.",664056,641585,,called_strike,,,,,7.0,Harrison Bader flies out to left fielder Marty Costes.,S,R,R,STL,HOU,S,,,0,0,2022,1.31,0.2,-0.36,1.64,,,,0,4,Bot,,,,,686676,,,-8.586310987250869,-130.4749491145621,-4.592726419624555,16.8223104481635,27.218197610381072,-29.12175948153012,3.41,1.56,333,,,0.0,,,706825,641585,686676,656695,666197,667452,682685,664753,694175,688869,54.13,,,,,,,,29,1,Slider,2,1,2,1,1,2,2,1,,,,0.0,,2022,,,,,,0,664056.0,Harrison Bader
