"pitches","player_id","player_name","game_date","game_pk","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp"
13,592450,"Judge, Aaron","2022-07-06",662328,13,100,0.75,1,1,1.75,0.981,0.828,0.467,3,4,100.2,19,2217,91.8,92.49,2,7,6,0.7000000000000028,6.51,90,148,116,143,316,325,307,"-4.5","4.5"
13,592450,"Judge, Aaron","2022-04-14",661312,13,100,0.25,0.25,0.333,0.5,0.315,0.594,0.344,1,4,98.7,26,1979,87.1,87.56,3,7,6,0.5,6.6,110,154,124,149,317,323,280,"0.1","-0.1"
13,592450,"Judge, Aaron","2022-08-21",661239,13,100,0,0,0,0,0.18,0.242,0.09,0,3,101.2,-10,2249,86.6,86.96,4,5,8,0.4000000000000057,6.63,107,154,124,147,310,333,293,"0.3","-0.3"
13,592450,"Judge, Aaron","2022-05-29",661910,13,100,0.5,0.75,0.5,1.25,0.739,0.737,0.51,2,4,87.1,20.7,2217,88.9,89.58,2,6,7,0.6999999999999886,6.85,103,152,121,149,310,338,306,"-1.4","1.4"
12,592450,"Judge, Aaron","2022-06-14",661328,12,100,0,0,0,0,0,0.541,0.392,0,4,100.1,20.3,2468,85.2,85.3,4,9,3,0.09999999999999432,6.33,107,152,114,148,315,335,293,"0.9","-0.9"
12,592450,"Judge, Aaron","2022-10-04",662062,12,100,0.2,0,0.2,0.2,0.177,0.232,0.24,1,5,91.8,19,2235,93.1,93.32,2,8,4,0.20000000000000284,6.49,103,156,126,147,320,342,311,"0.4","-0.4"
12,592450,"Judge, Aaron","2022-06-26",661273,12,100,0.25,0.75,0,1,0.552,0.515,0.296,1,4,95.7,33,2478,84.9,85.29,2,6,6,0.3999999999999915,6.51,110,157,122,145,304,326,283,"-2.2","2.2"
12,592450,"Judge, Aaron","2022-06-03",661318,12,100,0.8,0.6,0.75,1.4,0.945,0.598,0.455,4,5,90.8,11.4,2270,86.3,86.65,0,6,6,0.29999999999999716,6.43,105,154,122,149,327,349,289,"-2","2"
12,592450,"Judge, Aaron","2022-06-10",661284,12,100,0.25,0,0.333,0.25,0.221,0.432,0.417,1,4,104.5,13.7,2261,85.8,85.46,1,4,8,-0.29999999999999716,6.01,107,152,124,147,313,330,294,"0","0"
11,592450,"Judge, Aaron","2022-09-10",661282,11,100,0.75,0,1,0.75,0.663,0.516,0.531,3,4,100.6,12.3,2534,86,86.03,1,6,5,0,6.23,99,151,114,144,315,341,302,"-1.4","1.4"
11,592450,"Judge, Aaron","2022-09-21",661228,11,100,0.5,0.5,0.667,1,0.642,0.511,0.397,2,4,93,13,2199,86.2,85.84,2,5,6,-0.4000000000000057,6.02,111,154,117,148,305,320,286,"-0.8","0.8"
10,592450,"Judge, Aaron","2022-10-04",662010,10,100,0.5,1.5,,2,1.036,0.324,0.166,1,2,100.2,35,2088,89.9,88.99,2,4,6,-0.9000000000000057,5.74,119,156,124,147,319,340,299,"-0.9","0.9"
10,592450,"Judge, Aaron","2022-06-24",661274,10,100,0,0,0,0,0,0.343,0.281,0,4,101.7,36.3,2529,88.5,79.17,2,7,3,-9.299999999999997,6.54,100,151,122,143,303,318,283,"0.9","-0.9"
9,592450,"Judge, Aaron","2022-09-25",661220,9,100,0.5,0.5,0.5,1,0.65,0.356,0.196,1,2,100,21,2145,91.9,91.98,1,3,6,0.09999999999999432,6.39,94,150,124,148,304,342,293,"-0.7","0.7"
9,592450,"Judge, Aaron","2022-09-08",661252,9,100,0.5,0.25,0.5,0.75,0.536,0.377,0.379,2,4,95.5,19.5,2186,91.1,91.12,0,5,4,0,6.4,109,152,122,144,301,350,282,"-0.4","0.4"
8,592450,"Judge, Aaron","2022-06-11",661276,8,100,0.667,2,0,2.667,1.036,0.716,0.468,2,3,96.6,32,2147,89.3,89.09,1,5,3,-0.20000000000000284,6.08,104,152,119,145,314,335,295,"-1.3","1.3"
6,592450,"Judge, Aaron","2022-04-15",663357,6,100,0,0,0,0,0,0.165,0.177,0,1,60.7,-42,2416,87.9,88.27,1,4,2,0.3999999999999915,6.48,112,151,120,147,326,322,287,"0.3","-0.3"
6,592450,"Judge, Aaron","2022-07-03",662957,6,100,,,,,0.689,0.689,,0,0,,,2643,93.1,93.37,1,1,5,0.30000000000001137,6.48,118,150,118,151,321,331,301,"-0.3","0.3"
6,592450,"Judge, Aaron","2022-08-29",663424,6,100,0.5,1.5,0,2,1.036,0.976,0.523,1,2,95.8,16.5,2224,90.7,90.37,1,4,2,-0.29999999999999716,6.17,111,153,117,146,311,330,291,"-0.8","0.8"
6,592450,"Judge, Aaron","2022-07-12",661262,6,100,0,0,,0,0,0,,0,1,,,2594,95.8,98.43,1,2,4,2.6000000000000085,7.63,113,152,125,148,311,328,292,"0.2","-0.2"
1,592450,"Judge, Aaron","2022-06-21",661890,1,100,0,0,0,0,0,0.035,0.026,0,1,90.4,37,2184,93.8,95.9,0,1,0,2.1000000000000085,7.8,115,154,114,152,320,346,301,"0.1","-0.1"
