,game_date,hc_x,hc_y,launch_angle,hit_distance_sc,events,pitch_name,player_name,Game_Num
70,2022-07-15,136.59,50.42,38.0,368,field_out,Cutter,"Eovaldi, Nathan",90
71,2022-07-15,164.4,79.96,21.0,311,field_out,4-Seam Fastball,"Eovaldi, Nathan",90
72,2022-07-14,161.93,26.18,23.0,435,home_run,4-Seam Fastball,"Hoffman, Jeff",89
73,2022-07-14,72.0,93.88,29.0,314,field_out,Changeup,"Castillo, Luis",89
74,2022-07-08,,,22.0,292,,Sweeper,"Davis, Austin",84
75,2022-07-06,30.41,57.98,24.0,419,home_run,Sinker,"Bañuelos, Manny",82
76,2022-07-06,164.12,48.64,31.0,383,double,Sinker,"Keller, Mitch",82
77,2022-07-05,73.15,75.73,22.0,331,field_out,Curveball,"Quintana, José",81
78,2022-07-02,139.66,47.52,35.0,376,field_out,4-Seam Fastball,"McCarty, Kirk",78
79,2022-06-30,115.24,54.94,41.0,357,field_out,Cutter,"Garcia, Luis",77
80,2022-06-29,,,34.0,312,,Sinker,"Oller, Adam",76
81,2022-06-29,55.67,78.72,41.0,343,field_out,4-Seam Fastball,"Irvin, Cole",76
82,2022-06-29,24.03,56.96,26.0,429,home_run,Sinker,"Irvin, Cole",76
83,2022-06-26,70.84,39.13,20.0,417,home_run,Sweeper,"Martinez, Seth",73
84,2022-06-26,165.34,89.25,23.0,291,field_out,4-Seam Fastball,"Urquidy, José",73
85,2022-06-26,52.11,87.08,41.0,330,field_out,Changeup,"Urquidy, José",73
86,2022-06-24,170.23,58.38,29.0,364,field_out,Slider,"Verlander, Justin",71
87,2022-06-23,,,37.0,304,,Sinker,"Valdez, Framber",70
88,2022-06-22,27.16,66.62,41.0,406,home_run,Curveball,"Poche, Colin",69
89,2022-06-22,40.74,62.79,34.0,396,home_run,Slider,"Baz, Shane",69
90,2022-06-22,99.92,55.39,30.0,361,field_out,Slider,"Baz, Shane",69
91,2022-06-21,55.19,80.61,37.0,340,field_out,4-Seam Fastball,"Poche, Colin",68
92,2022-06-20,79.74,86.16,18.0,303,field_out,4-Seam Fastball,"McClanahan, Shane",67
93,2022-06-19,90.62,54.74,22.0,367,field_out,4-Seam Fastball,"Castillo, Max",66
94,2022-06-17,42.57,79.87,16.0,291,single,Changeup,"Stripling, Ross",64
95,2022-06-15,188.85,66.29,24.0,364,home_run,Curveball,"McClanahan, Shane",62
96,2022-06-14,51.86,93.13,41.0,318,field_out,Sinker,"Kluber, Corey",61
97,2022-06-14,152.98,51.85,36.0,369,field_out,Curveball,"Kluber, Corey",61
98,2022-06-12,138.44,80.59,19.0,297,field_out,4-Seam Fastball,"Mills, Alec",60
99,2022-06-11,56.44,38.62,18.0,431,home_run,4-Seam Fastball,"Swarmer, Matt",59
100,2022-06-11,50.44,104.05,35.0,299,field_out,Slider,"Swarmer, Matt",59
101,2022-06-11,30.64,76.29,41.0,383,home_run,4-Seam Fastball,"Swarmer, Matt",59
102,2022-06-10,108.54,62.28,26.0,342,field_out,Slider,"Givens, Mychal",58
103,2022-06-09,83.58,43.47,23.0,397,double,Curveball,"Duran, Jhoan",57
104,2022-06-09,74.07,88.89,16.0,302,field_out,Changeup,"Bundy, Dylan",57
105,2022-06-09,,,32.0,396,,Slider,"Bundy, Dylan",57
106,2022-06-08,81.84,90.58,52.0,290,field_out,Slider,"Archer, Chris",56
107,2022-06-07,,,42.0,306,,4-Seam Fastball,"Megill, Trevor",55
108,2022-06-07,,,47.0,292,,4-Seam Fastball,"Megill, Trevor",55
109,2022-06-07,128.68,24.34,31.0,431,home_run,4-Seam Fastball,"Sands, Cole",55
110,2022-06-05,82.04,81.45,14.0,311,single,Sinker,"García, Rony",54
111,2022-06-05,145.64,63.35,14.0,340,field_out,Sinker,"García, Rony",54
112,2022-06-04,189.91,60.14,31.0,378,home_run,4-Seam Fastball,"Brieske, Beau",53
113,2022-06-03,208.53,70.06,34.0,378,home_run,4-Seam Fastball,"Rodriguez, Elvin",52
114,2022-06-02,191.08,81.03,28.0,333,field_out,Changeup,"Diaz, Jhonathan",50
115,2022-06-02,49.43,53.88,21.0,405,home_run,Sweeper,"Ohtani, Shohei",50
116,2022-06-02,,,39.0,303,,4-Seam Fastball,"Detmers, Reid",51
117,2022-05-29,163.45,33.29,31.0,420,home_run,4-Seam Fastball,"Poche, Colin",48
118,2022-05-26,166.53,72.15,24.0,331,sac_fly,Cutter,"Raley, Brooks",45
119,2022-05-25,158.87,62.84,38.0,347,field_out,Slider,"Diplán, Marcos",44
120,2022-05-25,40.49,111.6,31.0,300,double,Cutter,"Wells, Tyler",44
121,2022-05-25,184.96,69.84,36.0,351,field_out,4-Seam Fastball,"Wells, Tyler",44
122,2022-05-24,201.42,90.58,27.0,327,field_out,Sinker,"Tate, Dillon",43
123,2022-05-23,34.81,61.86,32.0,405,home_run,Sweeper,"Lyles, Jordan",42
124,2022-05-23,81.9,35.61,22.0,418,home_run,Sinker,"Lyles, Jordan",42
125,2022-05-22,97.5,54.74,26.0,342,double,4-Seam Fastball,"López, Reynaldo",41
126,2022-05-22,197.37,103.97,41.0,294,field_out,Slider,"Kopech, Michael",41
